virus,realm,locus_tag,host,type,shape,corr,p.value
Tick-borne encephalitis virus,Riboviria,TBEVgp1,human:invertebrates:vertebrates,ss-RNA,linear,-0.147516072472238,0.264102823022693
Sewage-associated gemycircularvirus 5,Monodnaviria,SP77,human,DNA,circular,0.199360177181704,0.133317033840119
Lactococcus phage 949,Duplodnaviria,LaPh949,bacteria,DNA,linear,-0.350613676212741,0.00674413281025989
Lactococcus phage vB Llc bIBBAm4,NA,KMC90,NA,NA,NA,-0.348509643483343,0.00709995466012081
Salmonella phage 100268 sal2,NA,BOW73,NA,NA,NA,-0.183050847457627,0.164851127944319
Wenzhou picorna-like virus 1,Riboviria,BWT01,invertebrates,RNA,linear,-0.279953243717125,0.0320922879048533
bat polyomavirus 4b,Monodnaviria,AR674,vertebrates,DNA,circular,-0.454818865345181,0.000491458568649507
Simian virus 12,Monodnaviria,BPV1,vertebrates,DNA,circular,-0.524948735475051,4.28219200915927e-05
Sanxia tombus-like virus 1,Riboviria,BWU20,invertebrates,RNA,linear,-0.36031560490941,0.00529847423853098
Gata virus,Riboviria,BLX32,invertebrates,RNA,linear,-0.402863822326125,0.00169039990807795
Alternaria brassicicola fusarivirus 1,unclassified viruses,AXH27,fungi,RNA,linear,-0.27177089421391,0.0376436556007967
Sinorhizobium phage ort11,Duplodnaviria,HYP99,bacteria,DNA,linear,-0.0462302746931619,0.727440965110319
Tomato leaf curl Bangladesh virus,Monodnaviria,ToLCBDVgp,land plants,ss-DNA,circular,-0.33635300993571,0.00949676825368205
Cotesia congregata bracovirus,Polydnaviridae,CcBV_1,invertebrates,DNA,circular,-0.45552308591467,0.000333995251367659
Cactus virus X,Riboviria,CVXgORF,land plants,RNA,linear,0.085739333722969,0.517494072924389
Torque teno mini virus 10,Anelloviridae,D1P73,human,DNA,linear,-0.333415361899782,0.0108594467911783
Mycobacterium phage Pops,Duplodnaviria,AU153,bacteria,DNA,linear,0.502279368790181,6.36058681445709e-05
Faecalibacterium phage FP Lagaffe,NA,HOS64,NA,NA,NA,0.349912331969608,0.00686095717761033
Shigella phage Ag3,Duplodnaviria,phiSboM,bacteria,DNA,linear,0.417942723553478,0.00108899956122961
Mycobacterium phage KristaRAM,Duplodnaviria,I5H56,bacteria,DNA,linear,0.441437755698422,0.000527946507744197
Mycobacterium phage Luchador,Duplodnaviria,AVT52,bacteria,DNA,linear,0.586031560490941,1.7876165728154e-06
Escherichia phage HK97,Duplodnaviria,HK97p,bacteria,DNA,linear,-0.105669199298656,0.424707441175227
Escherichia phage vB EcoS Sa179lw,NA,KGB37,NA,NA,NA,-0.172822910578609,0.19006045519215
Lake Sarah-associated circular virus-28,unclassified viruses,A0R89,invertebrates,ss-DNA,circular,-0.410227936879018,0.00136697108364736
His 1 virus,Halspiviridae,His1V,archaea,DNA,linear,-0.457101110461718,0.000316928939551825
Chapare mammarenavirus,Riboviria,CV,human,ss-RNA,linear,-0.380654587960257,0.00312320146922107
Wenzhou shrimp virus 3,Riboviria,BWS50,invertebrates,RNA,linear,0.178141437755698,0.176625035998482
Giant panda anellovirus,NA,CGU83,NA,DNA,linear,-0.316364699006429,0.0149806020575078
Human pegivirus 2,Riboviria,APL51,human,RNA,linear,-0.119403857393337,0.366740234305668
Salmonella phage NR01,Duplodnaviria,BI021,bacteria,DNA,linear,-0.2593804792519,0.04755629409083
Temperate fruit decay-associated virus,unclassified viruses,AFL70,land plants,ss-DNA,circular,-0.422735242548218,0.000943167019644578
Wenzhou picorna-like virus 3,Riboviria,BVF74,invertebrates,RNA,linear,-0.486265341905319,0.0001150900695615
Pipistrellus bat coronavirus HKU5,Riboviria,BatCoVHKU5_gp1,vertebrates,ss-RNA,linear,-0.197194623027469,0.134175973542671
Rosellinia necatrix partitivirus 6,Riboviria,ASN24,fungi,RNA,linear,0.26685247601763,0.0450951270060682
Souris virus,Riboviria,D1U11,vertebrates,RNA,linear,-0.409701928696669,0.00138807189626434
Mycobacterium phage Piro94,Duplodnaviria,PBI,bacteria,DNA,linear,0.58934448921837,1.88230491416012e-06
Mycobacterium phage Eremos,Duplodnaviria,AU108,bacteria,DNA,linear,0.508182349503215,5.0765599055745e-05
Hubei sobemo-like virus 30,Riboviria,BVB23,invertebrates,RNA,linear,-0.337171244886032,0.00931571759129939
Croceibacter phage P2559Y,Duplodnaviria,P2559Y,bacteria,DNA,circular,-0.46843950905903,0.00021589992934511
Influenza A virus (A/New York/392/2004(H3N2)),Riboviria,FLUAVH3N2,human:vertebrates,cRNA,linear,-0.470894213909994,0.000198356806211315
Beihai rhabdo-like virus 5,Riboviria,BVJ75,invertebrates,RNA,linear,-0.140970192869667,0.286063210987972
Pestivirus giraffe-1 H138,Riboviria,PGV1gp1,vertebrates,RNA,linear,-0.355932203389831,0.00591370734357212
Brassica campestris chrysovirus 1,NA,FLB24,NA,RNA,linear,-0.460666277030976,0.000281268741584958
Mycobacterium phage Giles,Duplodnaviria,Gile,bacteria,DNA,linear,0.332963179427236,0.0102799505249416
Kalanchoe top-spotting virus,Riboviria,KTSVgp,land plants,DNA,linear,-0.19853886616014,0.131502454643481
Arthrobacter phage Oxynfrius,Duplodnaviria,KDJ05,bacteria,DNA,linear,0.559555815312683,6.0414897179076e-06
livupivirus A1,Riboviria,BU139,vertebrates,RNA,linear,-0.255815312682642,0.0507771234946845
Staphylococcus phage 52A,Duplodnaviria,ST52AORF0,bacteria,DNA,linear,-0.447223845704267,0.000438397933205586
Salmonella phage SSU5,Duplodnaviria,SSU5,bacteria,DNA,linear,0.195791934541204,0.137009431749963
Escherichia phage CAjan,Duplodnaviria,AVU36,bacteria,DNA,linear,-0.198597311513735,0.131387139286267
Synedrella leaf curl virus,Monodnaviria,BJK16,land plants,DNA,circular,-0.371654003506721,0.00396153323730531
Faba bean yellow leaf virus,Monodnaviria,D1T30,land plants,DNA,linear,-0.487403488264788,0.000126988954373313
Leptospira phage LE1,Duplodnaviria,HWD53,bacteria,DNA,linear,-0.449035651665693,0.00041334957814387
Gairo mammarenavirus,Riboviria,TI00,vertebrates,RNA,linear,-0.414786674459381,0.00119586321391337
Snakehead virus,Riboviria,SHRVgp,vertebrates,RNA,linear,-0.228872004675628,0.0813196417005105
Culex Iflavi-like virus 1,NA,EXK00,NA,RNA,linear,-0.372121566335476,0.00391349943224769
Miniopterus associated gemycircularvirus 1,Monodnaviria,D1R02,vertebrates,DNA,circular,-0.109000584453536,0.410186044035306
Vibrio phage VP4,Duplodnaviria,VVP4,bacteria,DNA,linear,-0.135300993571011,0.306032935268373
Mycobacterium phage Demsculpinboyz,Duplodnaviria,I5I02,bacteria,DNA,linear,0.515254237288136,3.85541959407075e-05
Mycobacterium phage Gadjet,Duplodnaviria,CM02,bacteria,DNA,linear,0.523085914669784,2.82433424220904e-05
Grapevine geminivirus A,Monodnaviria,BKK70,land plants,DNA,circular,-0.369433080070134,0.00419691897236509
Rose leaf curl betasatellite,Tolecusatellitidae,JM61,land plants,DNA,circular,-0.251444679351656,0.0997034181138284
Mycobacterium phage Kratio,Duplodnaviria,PBI,bacteria,DNA,linear,0.494739918176505,8.43741160426013e-05
Stx2-converting phage Stx2a F451,NA,H3H29,NA,NA,NA,-0.21385154880187,0.103833690079233
Staphylococcus phage StB20-like,Duplodnaviria,AVU83,bacteria,DNA,linear,-0.400584453535944,0.00180361621141664
Paramecium bursaria Chlorella virus NYs1,NA,FK949,NA,DNA,linear,-0.376154295733489,0.00352021556955919
Mycobacterium phage Troll4,Duplodnaviria,TROLL,bacteria,DNA,linear,0.597545295149036,1.02612449000068e-06
Allium cepa amalgavirus 2,Riboviria,C1179,land plants,RNA,linear,-0.144009351256575,0.275721367710889
Pinus nigra virus 1,Riboviria,EXL67,land plants,DNA,circular,-0.361961303023778,0.00548671732942001
Porcine serum associated circular DNA virus 2,unclassified viruses,EXL57,vertebrates,DNA,circular,-0.474846206425154,0.000257068874290037
Escherichia phage MS2,Riboviria,MS2g,bacteria,RNA,linear,-0.0457042665108124,0.730424874318951
Viral hemorrhagic septicemia virus Fil3,Riboviria,NA,vertebrates,RNA,linear,0.0576271186440678,0.663850271102248
Vibrio virus 2019VC1,Duplodnaviria,KMB90,bacteria,DNA,linear,-0.312682641729983,0.0162444484598635
Halhan virus 2,unclassified viruses,EXJ10,invertebrates,RNA,linear,-0.127469316189363,0.335074303891545
Duck coronavirus,Riboviria,HO267,human:vertebrates,RNA,linear,-0.307305669199299,0.0182543416676349
Shahe isopoda virus 2,Riboviria,BWT97,invertebrates,RNA,linear,0.127410870835769,0.335297366509448
Propionibacterium phage PHL112N00,Duplodnaviria,P752,bacteria,DNA,linear,0.0821157218001169,0.535402923920954
Salmonella phage 1-19,Duplodnaviria,HWC75,bacteria,DNA,linear,-0.198597311513735,0.131387139286267
Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006],Tolecusatellitidae,OkELCVb,land plants,DNA,circular,-0.299825783972126,0.0572366449047608
Bat mastadenovirus WIV13,Varidnaviria,BHR84,vertebrates,DNA,linear,-0.420514319111631,0.00100839367072261
Sanxia water strider virus 4,Riboviria,BI072,invertebrates,RNA,linear,-0.433898305084746,0.000669570099101316
Equus caballus papillomavirus 8,Monodnaviria,BMR76,vertebrates,DNA,circular,-0.207422559906487,0.114840279085627
Microbacterium phage Dismas,Duplodnaviria,FDJ24,bacteria,DNA,linear,0.631732750930512,2.30551710761539e-07
Citrus psorosis virus,Riboviria,CPsVsRNA,land plants,DNA,linear,-0.46990064289889,0.000205293642440207
Honeysuckle yellow vein beta-[Japan:Fukui:2001],Tolecusatellitidae,HYVBV2001,land plants,ss-DNA,circular,-0.329776021080369,0.0274355280427171
Beet soil-borne mosaic virus,Riboviria,BSBMVsRNA,land plants,RNA,linear,-0.332963179427236,0.0102799505249416
Brugmansia mosaic virus,Riboviria,NA,land plants,ss-RNA,linear,-0.44447691408533,0.000479023275125387
Carrot Ch virus 2,Riboviria,PL74,land plants,RNA,linear,-0.40812390414962,0.00145314786825237
Escherichia phage ID21,Monodnaviria,CIV21,bacteria,DNA,circular,-0.0661016949152542,0.618028664902203
Leuconostoc phage phiLN12,Duplodnaviria,HL56,bacteria,DNA,linear,-0.346697837521917,0.00741946563426663
Saguaro cactus virus,Riboviria,SgCVgp,land plants,ss-RNA,linear,-0.139158386908241,0.292349194270263
Bastrovirus 7,Riboviria,CK923,human,RNA,linear,0.227761542957335,0.082838541778548
Cassia yellow blotch virus,NA,CYBV,NA,RNA,linear,-0.297662185856225,0.0223949996506273
Propionibacterium phage PHL179M00,Duplodnaviria,ACQ64,bacteria,DNA,linear,0.0347749853886616,0.793267703980122
Escherichia phage vB EcoP K,NA,HOR60,NA,NA,NA,-0.201636469900643,0.125495962409267
Gordonia Phage Zitch,Duplodnaviria,J1774,bacteria,DNA,linear,0.414143775569842,0.00121875929069037
Bombali ebolavirus,Riboviria,D3P43,vertebrates,cRNA,linear,-0.412565751022794,0.00127664606639773
Wenzhou picorna-like virus 18,Riboviria,BWS92,invertebrates,RNA,linear,-0.085739333722969,0.517494072924389
Bovine faeces associated smacovirus 3,NA,A8B47,NA,DNA,circular,0.105552308591467,0.425222252350034
Newbury agent 1,Riboviria,NAV1,vertebrates,ss-RNA,linear,0.112741087083577,0.394231158301262
Sewage-associated circular DNA molecule-3,NA,SP84,NA,DNA,circular,0.243257918552036,0.0855155288438747
Mycobacterium phage NoodleTree,Duplodnaviria,KHO62,bacteria,DNA,linear,0.636937463471654,1.36121755525981e-07
Sesbania mosaic virus,NA,SeMVgp,NA,ss-RNA,linear,-0.196434833430742,0.135705200466189
Mycobacterium phage Koko,Duplodnaviria,KIP56,bacteria,DNA,linear,0.613383985973115,4.66419065548923e-07
Pseudomonas phage Littlefix,Duplodnaviria,HWB52,bacteria,DNA,linear,0.139801285797779,0.290108358133968
Cyclovirus PKbeef23/PAK/2009,Monodnaviria,D1Q28,vertebrates,ss-DNA,circular,-0.418059614260666,0.00108521290980434
Cucurbit yellow mosaic alphasatellite,Alphasatellitidae,A6I64,land plants,ss-DNA,circular,-0.435300993571011,0.000640858869660679
Staphylococcus phage tp310-2,Duplodnaviria,SPTP3102,bacteria,DNA,linear,-0.466919929865576,0.000227461715385233
Bubaline alphaherpesvirus 1,Duplodnaviria,FK804,vertebrates,DNA,linear,0.306545879602572,0.0185548582171533
Escherichia phage tunus,Duplodnaviria,H1N80,bacteria,DNA,linear,-0.265634132086499,0.042313596140506
Abalone herpesvirus Victoria/AUS/2009,Duplodnaviria,AbHV,invertebrates,DNA,linear,-0.101052016364699,0.445312421933025
Silicibacter phage DSS3phi2,Duplodnaviria,DSS3P2,bacteria,DNA,linear,0.0788427819988311,0.551837528069919
Lymantria dispar multiple nucleopolyhedrovirus,Naldaviricetes,LdnVgp,invertebrates,DNA,circular,0.204383401519579,0.120346747593085
Wuhan pillworm virus 1,Riboviria,BVF70,invertebrates,RNA,linear,-0.416072472238457,0.00115123272772189
Mycobacterium phage Kumao,Duplodnaviria,J4U01,bacteria,DNA,linear,0.604500292226768,7.28419780921112e-07
Bovine orthopneumovirus,Riboviria,BovRSVgp,vertebrates,RNA,linear,-0.430391583869082,0.000746532208235278
Camponotus yamaokai virus,Riboviria,ACA14,invertebrates,RNA,linear,-0.512331969608416,4.32256257855149e-05
Human papillomavirus type 60,Monodnaviria,NA,human,DNA,linear,-0.455698421975453,0.000332058351520675
Fusarium graminearum dsRNA mycovirus-3,Riboviria,FGMV,fungi,RNA,linear,-0.0333138515488019,0.801779748948336
Rhizoctonia solani dsRNA virus 2,Riboviria,CJ94,fungi,RNA,linear,0.244184687317358,0.062549340256596
Calanoida sp. copepod associated circular virus,Monodnaviria,AMQ92,invertebrates,DNA,circular,-0.309409701928697,0.0174438217285462
Myotis polyomavirus VM-2008,NA,MyPyV,NA,DNA,circular,-0.46827032514073,0.000246908730148667
Mycobacterium phage KBG,NA,KBG,NA,DNA,linear,0.53062536528346,2.07948789467934e-05
Escherichia phage If1,Monodnaviria,If1p,bacteria,ss-DNA,circular,-0.348684979544126,0.00706968542847252
Stenotrophomonas phage IME-SM1,Duplodnaviria,KMC40,bacteria,DNA,circular,0.655990648743425,4.60672956165114e-08
Botrytis virus F,Riboviria,BvFgp,fungi,RNA,linear,0.115780245470485,0.381543048923945
Coot Bay almendravirus,Riboviria,BSB10,invertebrates,RNA,linear,-0.499941554646406,6.94750703623765e-05
Lettuce infectious yellows virus,Riboviria,LIYV,land plants,ss-RNA,linear,-0.444593804792519,0.000477226935294766
Orf virus,Varidnaviria,ORFVgORF,human:vertebrates,DNA,linear,0.357218001168907,0.00572702188734889
Arthrobacter phage Jasmine,Duplodnaviria,FDG92,bacteria,DNA,linear,-0.0793103448275862,0.549474935356158
Faba bean necrotic yellows virus associated alphasatellite 1,Alphasatellitidae,KM645,land plants,ss-DNA,circular,-0.374458874458874,0.00510859011709997
Wenzhou picorna-like virus 43,Riboviria,BWS68,invertebrates,RNA,linear,-0.328988895382817,0.0112692993942169
Burkholderia phage BcepIL02,Duplodnaviria,BcepIL02,bacteria,DNA,linear,0.445236703682057,0.000467456347446535
Changjiang tombus-like virus 9,Riboviria,BWV69,invertebrates,RNA,linear,-0.0402688486265342,0.761485587067836
Lactococcus phage bIL310,Duplodnaviria,bIL310p,bacteria,DNA,linear,-0.438515488018703,0.000579236071958679
University of Giessen virus,Riboviria,D1U08,vertebrates,RNA,linear,-0.409234365867914,0.00140707420974528
Beihai weivirus-like virus 5,Riboviria,BWV67,invertebrates,RNA,linear,0.223295307233601,0.0950049581833626
Solanum mosaic Bolivia virus,Monodnaviria,GV75,land plants,DNA,circular,-0.341379310344828,0.00843141709290923
Choristoneura occidentalis cypovirus 16,Riboviria,D1R91,invertebrates,RNA,linear,-0.423845704266511,0.000912007968570426
Shuangao sobemo-like virus 2,Riboviria,BWT64,invertebrates,RNA,linear,0.0666277030976038,0.615229689294594
Bat associated cyclovirus 6,Monodnaviria,D1Q19,vertebrates,DNA,circular,-0.375734791524265,0.00455781430457036
Hubei rhabdo-like virus 6,Riboviria,KM456,invertebrates,RNA,linear,-0.429865575686733,0.000758744861273168
Circovirus-like genome DCCV-9,NA,BBV87,NA,ss-DNA,circular,-0.220523547325356,0.0962295794655557
Mulard duck circovirus,Monodnaviria,MuDCVgp,vertebrates,ss-DNA,circular,0.00619520748100526,0.962914333900649
Broad bean stain virus,NA,FK964,NA,RNA,linear,-0.395382817066043,0.00208789115342577
Merino Walk mammarenavirus,Riboviria,CO50,vertebrates,RNA,linear,-0.422618351841029,0.000946502364619369
Bozo virus,Riboviria,FLB22,invertebrates,ss-RNA,linear,-0.456224430157803,0.000326309101707331
Quhwahvirus ouhwah,Duplodnaviria,HOT47,bacteria,NA,NA,0.541296256421299,1.58782008073339e-05
Lactococcus phage Q33,Duplodnaviria,H1N73,bacteria,DNA,linear,-0.379310344827586,0.00323738562065475
Gokushovirinae Fen672 31,NA,AFL78,NA,NA,NA,-0.0929281122150789,0.482887175205328
Human alphaherpesvirus 1,Duplodnaviria,HHV1gp00p,human:vertebrates,DNA,linear,0.299357101110462,0.0216141285780646
Erigeron breviscapus amalgavirus 2,NA,EXJ46,NA,RNA,linear,-0.249210987726476,0.0572158226387525
Acholeplasma phage MV-L51,Monodnaviria,L1,bacteria,ss-DNA,circular,-0.196530191639238,0.139002907033345
Flavobacterium phage FpV4,Duplodnaviria,FDG89,bacteria,DNA,circular,-0.378082992402104,0.0033448744181638
Bacillus phage Juan,Duplodnaviria,H3012,bacteria,DNA,linear,-0.409643483343074,0.00139043446502325
Sewage-associated circular DNA virus-27,NA,TP14,NA,ss-DNA,circular,-0.139801285797779,0.290108358133967
Epichloe festucae virus 1,Riboviria,D1T47,fungi,RNA,linear,0.302688486265342,0.0201467750700475
Bos taurus papillomavirus 17,Monodnaviria,BGI60,vertebrates,DNA,circular,-0.513734658094682,4.09214612139849e-05
Staphylococcus phage S25-3,Duplodnaviria,X600,bacteria,DNA,circular,-0.387258912916423,0.00261273711864903
Sophora yellow stunt virus,Monodnaviria,KM764,land plants,DNA,circular,-0.288135593220339,0.0286355364276526
Propionibacterium phage P105,Duplodnaviria,D290,bacteria,DNA,linear,0.0888953828170661,0.502147551561969
Klebsiella phage 13,Duplodnaviria,H1O10,bacteria,DNA,linear,-0.00730566919929866,0.95624146574319
Magnaporthe oryzae RNA virus,unclassified viruses,SP85,fungi,RNA,linear,0.0765634132086499,0.563424698328753
Burkholderia phage vB BmuP KL4,NA,HOT12,NA,NA,NA,0.431794272355348,0.000714832387502633
Montana myotis leukoencephalitis virus,NA,MMLVgp1,NA,ss-RNA,linear,-0.37749853886616,0.00339716796856536
Mycobacterium phage Ramsey,Duplodnaviria,RAMSEY,bacteria,DNA,linear,0.467445938047925,0.000223396825060423
Cotton leaf curl Burewala virus,Monodnaviria,CLCBuV,land plants,ss-DNA,circular,-0.334774985388662,0.00985462605540146
Citrobacter phage Sazh,Duplodnaviria,HOU20,bacteria,DNA,linear,-0.281589713617767,0.0310688005102933
Clerodendrum chlorotic spot virus,Riboviria,FLB20,land plants,RNA,linear,-0.0884862653419053,0.504123511491381
Cellulophaga phage phi48:2,unclassified viruses,Phi48,bacteria,DNA,circular,-0.456867329047341,0.000319405898410052
Pseudomonas phage KPP12,Duplodnaviria,G182,bacteria,DNA,circular,0.43062536528346,0.000741161855717842
Brome mosaic virus,Riboviria,BMV,land plants,ss-RNA,linear,-0.220923436586791,0.0926941970620181
Mycobacterium phage Cambiare,Duplodnaviria,AVT48,bacteria,DNA,linear,0.427177089421391,0.000824043602886526
Iguanid herpesvirus 2,NA,FK813,NA,DNA,linear,-0.262121212121212,0.0534811751641826
Pseudoalteromonas phage BS5,Duplodnaviria,BOX08,bacteria,DNA,linear,-0.362361192285213,0.00503124692867001
Grapevine Cabernet Sauvignon reovirus,Riboviria,AMQ95,land plants,RNA,linear,-0.514436002337814,3.98126039350507e-05
Arthrobacter phage Jawnski,Duplodnaviria,FDH48,bacteria,DNA,linear,0.410461718293396,0.00135768613408751
Mink coronavirus strain WD1127,Riboviria,CN73,vertebrates,ss-RNA,linear,-0.250672121566336,0.0557368621155185
Human DNA virus,unclassified viruses,EXH56,human,DNA,circular,-0.130827067669173,0.335542266235612
Wenzhou Shrimp Virus 1,Riboviria,BJD34,invertebrates,cRNA,linear,-0.113968439509059,0.38907727751464
Wenzhou Shrimp Virus 1,Riboviria,BJD34,invertebrates,RNA,linear,-0.113968439509059,0.38907727751464
Bacillus phage Gxv1,Duplodnaviria,H3023,bacteria,DNA,linear,-0.374868497954413,0.00364160878481028
Cotton yellow mosaic virus,Monodnaviria,BAR03,land plants,DNA,circular,-0.333898305084746,0.0100584726967743
Escherichia phage slur04,Duplodnaviria,FDJ55,bacteria,DNA,linear,-0.28801870251315,0.0273095471697079
